Title,Publication,Date,Pub Type,Pub Info,Loc Refs,Other Refs,Hoax Type,Motivation,Citation
The New Hammersmith Ghost,Bell's Life in London and Sporting Chronicle,30 Jan 1825,working class,Gale Group,"Hammersmith, Kensington",,attack,,"""The New Hammersmith Ghost."" Bell's Life in London and Sporting Chronicle, 30 Jan. 1825.  19th Century UK Periodicals, http://tinyurl.com/yahgex6w.  Accessed 31 July 2017."
The Ghost Laid,Bell's Life in London and Sporting Chronicle,12 Mar 1826,working class,Gale Group,The Strand,,mistake,,"""The Ghost Laid."" Bell's Life in London, 12 Mar. 1826, p. 82.  19th Century UK Periodicals, http://tinyurl.com/y8nyc3gw. Accessed 31 July 2017."
A Ghost,The Age,15 Jan 1832,"Tory, lewd",Gale Group,none,Blackwood's,theft,,"""A Ghost."" The Age, 15 Jan. 1832, p. 23. 19th Century UK Periodicals, http://tinyurl.com/yaxzvbaf.  Accessed 31 July 2017."
All the world...,The Penny Satirist,20 Jan 1838,working class,Gale Group,"Hammersmith, Kensington, Ireland",Thugs/Kalee,unclear,political/religious,"""All the world?"" The Penny Satirist, 20 Jan. 1838, p. 2. 19th Century UK Periodicals, http://tinyurl.com/ybo9hart.  Accessed 31 July 2017."
"A ghost, a bear, or a devil",The Penny Satirist,20 Jan 1838,working class,Gale Group,Kew,"King Ernest, Hanover",unclear,anti-Victoria,"""A ghost, a bear, or a devil."" The Penny Satirist, 20 Jan. 1838,p. 3.  19th Century UK Periodicals, http://tinyurl.com/y966nuky.  Accessed 31 July 2017."
Tom Paine's Ghost,The Age,18 Mar 1832,"Tory, lewd",Gale Group,"Fetter-lane, St. Paul's, St. Dunstan's","Thomas Paine, Matthew Wood",political attack,political,"""Tom Paine's Ghost."" The Age, 18 Mar. 1832, p. 93.  19th Century UK Periodicals, http://tinyurl.com/ycw3hetk.  Accessed 31 July 2017."
A Black Ghost?,John Bull,04 Nov 1832,"Tory, upper class",Gale Group,"London and Birmingham Railway, Wolverton Church",race,sighting,,"""A Black Ghost on the London and Birmingham Railway."" John Bull, 4 Nov. 1838, p. 526. 19th Century UK Periodicals, http://tinyurl.com/yajx2huh.  Accessed 1 August 2017."
A Pomeranian Ghost,The Penny Satirist,05 Oct 1844,working class,Gale Group,"Wolgast, Mecklenburg-Vorpommern",capital punishment,attack/haunting,unknown,"""A Pomeranian Ghost.""  The Penny Satirist, 5 Oct. 1844, p. 4.  19th Century UK Periodicals, http://tinyurl.com/y7v6pkw6.  Accessed 1 Aug. 2017.  "
A Ghost! A Ghost!,Cleave's Weekly Police Gazette,24 Sept 1836,unstamped,Wikipedia,Haggerstone,"""hobgoblins""",mistake,,"""A Ghost! a Ghost!""ÿCleave's Weekly Police Gazette, 24 Sept. 1836.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55Ypy0. Accessed 1 Aug. 2017."
A Ghost!,Douglas Jerrold's Weekly Newspaper,4 Sept 1847,liberal/radical?,Wikipedia,Building-hill,,mistake,silly woman,"""A Ghost!"" Douglas Jerrold's Weekly Newspaper, 4 Sept. 1847, p. 1119. Nineteenth Century Collections Online, tinyurl.galegroup.com/tinyurl/54Rtk8. Accessed 25 July 2017."
A Ghost,Weekly Times,9 Oct 1836,Sunday?,very little,"Pentonville, Maiden-lane",French language,trick,,"""A Ghost."" Weekly Times, 9 Oct. 1836. Nineteenth Century Collections Online, tinyurl.galegroup.com/tinyurl/54S2x9. Accessed 25 July 2017."
A Ghost Caught,The Cabinet Newspaper,4 Dec 1858,,none,Cardross,spirit rapping,trick,,"""A Ghost Caught.""ÿCabinet Newspaper, 4 Dec. 1858, p. 3.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/54SGP5. Accessed 25 July 2017."
Another Ghost Case,The English Leader,16 July 1864,,none,Court of Exchequer,"court case, ""Prestidigitateur""",performance,,"""Another Ghost Case.""ÿThe English Leader, no. 7, 1864.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/54Tbb1. Accessed 25 July 2017."
Another Stockwell Ghost Case,The Leader,21 Nov 1857,radical,Wikipedia,Southwark,Stockwell ghost,trick,slutty woman,"""Another Stockwell Ghost Case.""ÿLeader, 21 Nov. 1857, p. 1112+.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55Yrh0. Accessed 1 Aug. 2017."
A Substantial Ghost Story,The People's Advocate,3 July 1875,,none,Sale,"race, ""slavey""",trick,,"""A Substantial Ghost Story.""ÿPeople's Advocate, 3 July 1875.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/54V4J5. Accessed 25 July 2017."
The Hampstead Ghost-- Legal Proceedings against the Police,The Weekly True Sun,20 Nov 1836,pro-Whig,Wikipedia,Hampstead,court case,trick,,"""The Hampstead Ghost?Legal Proceedings against the Police.""ÿWeekly True Sun, 20 Nov. 1836, p. 1350.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/54d3N1. Accessed 26 July 2017."
Nelson's Ghost,The Leader,9 July 1853,radical,Wikipedia,,crimean war,political attack,political,"""Nelson's Ghost.""ÿLeader, 9 July 1853, p. 660.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55AEu4. Accessed 29 July 2017."
"Not Dead, or No Ghost",Weekly Times,16 Oct 1836,Sunday?,very little,"Goswell Street, Hatton Garden",,mistake,,"""Not Dead, or No Ghost.""ÿWeekly Times, 16 Oct. 1836.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55AP33. Accessed 29 July 2017."
Resuscitation of the Hammersmith Ghost,The Weekly True Sun,15 Dec 1833,pro-Whig?,Wikipedia,"Hammersmith, Webb's-lane, Acton",,sexual assault,,"""Resuscitation of the Hammersmith Ghost.""ÿWeekly True Sun, 15 Dec. 1833, p. 123.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55Dca8. Accessed 30 July 2017."
"A ""Ghost"" at Hull",The Leader,30 Oct 1852,radical,Wikipedia,"Hull, Wellington-lane (Walker-street, Great Thornton-street, Anlaby-road)",Cock-lane ghost,rapping/ public interest,,"""A 'Ghost' at Hull.""ÿLeader, 30 Oct. 1852, p. 1034.ÿNineteenth Century Collections Online,ÿtinyurl.galegroup.com/tinyurl/55Nxm6. Accessed 31 July 2017."
,,,,,,,,,
